4K,#genre#
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-12H265_4000#https://live.v1.mk/aishang/cctv12hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV12HD_2000
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-xw_4000#https://live.v1.mk/aishang/cctv13hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV13HD_6000
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-14H265_4000#https://live.v1.mk/aishang/cctv14hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV14HD_2000
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-15-yyH265_4000#https://live.v1.mk/aishang/cctv15hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv15HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-16_4000#https://live.v1.mk/aishang/cctv16hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv16HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV16HD_6000
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-17_4000#https://live.v1.mk/aishang/cctv17hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv17HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV17HD_6000


卫视,#genre#
江苏卫视,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=jswsH265_4000#https://live.v1.mk/aishang/jswshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangsuHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=JiangSuHD_6000
广西卫视,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=gxws_4000#https://live.v1.mk/aishang/gxws#http://baidu.live.cqccn.com/__cl/cg:live/__c/guangxiHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000#https://live.v1.mk/api/ghyx.php?id=GuangXiHD_6000
四川卫视,https://live.v1.mk/api/bestv.php?id=scwshd/8000000#http://192.168.2.254:5678/sxg.php?id=scwsH265_4000#https://live.v1.mk/aishang/scws#http://baidu.live.cqccn.com/__cl/cg:live/__c/sichuanHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=SiChuanHD_6000
湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=hnwsH265_4000#https://live.v1.mk/aishang/hunwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/hunanHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=HuNanHD_6000
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=zjwsH265_4000#https://live.v1.mk/aishang/zjwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/zhejiangHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=ZheJiangHD_6000
东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=dfwsH265_4000#https://live.v1.mk/aishang/dfwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=DongFangHD_6000
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=bjwsH265_4000#https://live.v1.mk/aishang/bjwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/beijingHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=BTV1HD_6000
天津卫视,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=tjwsH265_4000#https://live.v1.mk/aishang/tjwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=TianJinHD_6000
辽宁卫视,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=lnwsHDH264_4000#http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=LiaoNingHD_6000
安徽卫视,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=ahwsH265_4000#https://live.v1.mk/aishang/ahwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/anhuiSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=AnHuiHD_6000
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=hljwsH265_4000#https://live.v1.mk/aishang/hljwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/heilongjiangHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=HeiLongJiangHD_6000
湖北卫视,https://live.v1.mk/api/bestv.php?id=hubeiws8m/8000000#http://192.168.2.254:5678/sxg.php?id=hbwsH265_4000#https://live.v1.mk/aishang/hubwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/hubeiSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=HuBeiHD_6000
吉林卫视,https://live.v1.mk/api/bestv.php?id=jlwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=jlwsH265_4000#https://live.v1.mk/aishang/jlws#http://baidu.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=JiLinWeiShiHD_6000
山东卫视,https://live.v1.mk/api/bestv.php?id=sdws8m/8000000#http://192.168.2.254:5678/sxg.php?id=sdwsH265_4000#https://live.v1.mk/aishang/sdwshd#https://live.v1.mk/api/ghyx.php?id=ShanDongHD_6000
江西卫视,https://live.v1.mk/api/bestv.php?id=jxws8m/8000000#http://192.168.2.254:5678/sxg.php?id=jxwsH265_4000#https://live.v1.mk/aishang/jxws#http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangxiHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=JiangXiHD_6000
河南卫视,https://live.v1.mk/api/bestv.php?id=hnwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=hnws35_4000#https://live.v1.mk/aishang/hnws#http://baidu.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=HeNanHD_6000
河北卫视,https://live.v1.mk/api/bestv.php?id=hbwshd8m/8000000#https://live.v1.mk/aishang/hbwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=HeBeiHD_6000
甘肃卫视,https://live.v1.mk/api/bestv.php?id=gswshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=gsws_4000#https://live.v1.mk/aishang/gsws#https://live.v1.mk/api/ghyx.php?id=GanSuHD_2000
重庆卫视,https://live.v1.mk/api/bestv.php?id=cqws8m/8000000#http://192.168.2.254:5678/sxg.php?id=cqwsH265_4000#https://live.v1.mk/aishang/cqws#http://baidu.live.cqccn.com/__cl/cg:live/__c/chongqingHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=ChongQingHD_6000
东南卫视,https://live.v1.mk/api/bestv.php?id=dnwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=dnwsfjwsH265_4000#https://live.v1.mk/aishang/dnwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/dongnanHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=FuJianHD_6000
云南卫视,https://live.v1.mk/api/bestv.php?id=ynwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=ynws_4000#https://live.v1.mk/aishang/ynws#http://baidu.live.cqccn.com/__cl/cg:live/__c/yunnanSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=YunNanHD_2000
贵州卫视,https://live.v1.mk/api/bestv.php?id=gzwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=gzwsH265_4000#https://live.v1.mk/aishang/gzwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/guizhouHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=GuiZhouHD_2000
海南卫视,https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=hnws_4000#http://baidu.live.cqccn.com/__cl/cg:live/__c/hainanSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=LvYouWeiShiHD_6000
兵团卫视,http://192.168.2.254:5678/sxg.php?id=btws_4000#http://baidu.live.cqccn.com/__cl/cg:live/__c/bingtuanSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=BTTVHD_2000
康巴卫视,http://192.168.2.254:5678/sxg.php?id=kbwsH264_2000
内蒙古卫视,http://192.168.2.254:5678/sxg.php?id=nmgws_4000#https://live.v1.mk/aishang/nmws#https://live.v1.mk/api/ghyx.php?id=NeiMengGuHD_2000
山东教育卫视,http://192.168.2.254:5678/sxg.php?id=sdjy_4000
山西卫视,http://192.168.2.254:5678/sxg.php?id=sxws42_4000#http://baidu.live.cqccn.com/__cl/cg:live/__c/shanxiSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=ShanXiHD_2000
陕西卫视,http://192.168.2.254:5678/sxg.php?id=sxws_4000#https://live.v1.mk/aishang/sxws#https://live.v1.mk/api/ghyx.php?id=ShannXiHD_2000
西藏卫视,http://192.168.2.254:5678/sxg.php?id=xzwsH264_2000#https://live.v1.mk/aishang/xzws#http://baidu.live.cqccn.com/__cl/cg:live/__c/xizangSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=XiZangHD_2000
青海卫视,https://live.v1.mk/aishang/qhws#http://baidu.live.cqccn.com/__cl/cg:live/__c/qinghaiSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=QingHaiHD_2000
新疆卫视,https://live.v1.mk/aishang/xjws#http://baidu.live.cqccn.com/__cl/cg:live/__c/xinjiangSD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=XinJiangHD_2000
厦门卫视,https://live.v1.mk/aishang/xmws#https://live.v1.mk/api/ghyx.php?id=XiaMenHD_2000
宁夏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=NingXiaHD_2000
三沙卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/sanshaSD/__op/default/__f//index.m3u8


广东,#genre#
广东卫视,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=gdwsH265_4000#https://live.v1.mk/aishang/gdwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/guangdongHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=GuangDongHD_6000
广东珠江,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gdzhujiangHD_7500
广东体育,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=1413
广东经济科教,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=GDjingjikejiaoHD_7000
广东新闻,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gdnews_1500
广东公共,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gdpublic_1500
广东影视,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gdyingshi_1500
广东少儿,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gdshaoer_1500


广东各地,#genre#
深圳卫视,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000#http://192.168.2.254:5678/sxg.php?id=szwsH265_4000#https://live.v1.mk/aishang/szwshd#http://baidu.live.cqccn.com/__cl/cg:live/__c/shenzhenHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=ShenZhenHD_6000
大湾区卫视,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gdnanfang_1500
汕头综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shantouyitaogaoqing_4500
汕头经济生活,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shantouertaogaoqing_4500
汕头文旅体育,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2508_4500
潮州综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3131
潮州民生,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3132
中山综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3665
中山公共,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3663
中山教育,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3664
鹤山综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3709
梅州1,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=meizhou1HD_4500
梅州2,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=meizhou2HD_4500
增城电视台,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2079
东莞新闻综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2121
东莞生活资讯,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2122
佛山综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=foshanzongheHD_4500
佛山公共,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=foshangonggongHD_4500
佛山影视,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=foshanyingshiHD_4500
南海综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=nanhaiHD_4500
顺德综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shundeHD_4500
斗门融媒,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2207
惠州1,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2314
惠州2,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2316
博罗综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2305
广州综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=guangzhou_1500
广州新闻,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gznews_1500
广州法治,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gzeconomic_1500
广州竞赛,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gzcompetition_1500
广州影视,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=gzfilms_1500
湛江综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=zhanjiangzonghe_1500
湛江公共,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=zhanjianggonggong_1500
韶关新闻综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shaoguanzonghe_1500
韶关绿色生活,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=shaoguangonggong_1500
始兴综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2641
江门综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=3712_1500
江门侨乡生活,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=jiangmenyitao_1500
新会综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=xinhui_1500
佛冈,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2405
怀集综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=2805
云浮综合,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=yunfuyitao_1500
云浮文旅,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=yunfuertao_1500
珠海1,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=zhuhaiyitao_1500
